text,event_type,player_mentioned,team,league,language
GOAL! Erling Haaland taps it in from close range! Manchester City lead 2-1!,goal,Erling Haaland,Manchester City,Premier League,en
Yellow card for Declan Rice after a late challenge on Rodri.,yellow_card,Declan Rice,Arsenal,Premier League,en
What a save! Neuer denies Vinicius Jr from point blank range!,other,Vinicius Jr,Real Madrid,Champions League,en
GOAL! Pedri with a stunning volley from outside the box! Barcelona 1-0 Atletico!,goal,Pedri,Barcelona,La Liga,en
Ronaldo is brought down in the box! Penalty to Al-Nassr!,penalty,Ronaldo,Al-Nassr,Saudi Pro League,en
Corner kick for Liverpool. Salah whips it in...,corner,Mohamed Salah,Liverpool,Premier League,en
"Red card! The defender leaves Mbappe with no choice — dangerous tackle, straight red!",red_card,,Borussia Dortmund,Champions League,en
Substitution: Rashford comes on for Bruno Fernandes for Manchester United.,substitution,Marcus Rashford,Manchester United,Premier League,en
FULLTIME! Al-Hilal win 3-2 in a dramatic finish! What a match!,other,,Al-Hilal,Saudi Pro League,en
Offside! Benzema's goal is ruled out by VAR.,offside,Benzema,Real Madrid,La Liga,en
GOAL! هالاند يسجل مجدداً! مانشستر سيتي يتقدم 1-0!,goal,Erling Haaland,Manchester City,Premier League,ar
بنزيمة يُهدر فرصة سهلة أمام المرمى. ما كان يجب أن يُخطئ هكذا.,other,Benzema,Real Madrid,Champions League,ar
رونالدو يسجل من ركلة الجزاء! الهدف الأول له في هذه المباراة.,goal,Ronaldo,Al-Nassr,Saudi Pro League,ar
Foul by Casemiro on Diaz. Free kick for Liverpool in a dangerous position.,foul,Casemiro,Manchester United,Premier League,en
GOLAZO! Lamine Yamal curls it into the top corner! The crowd goes absolutely wild!,goal,Lamine Yamal,Barcelona,Champions League,en
